<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKRN,D,20211208,000000,13140.0000000,13280.0000000,13000.0000000,13200.0000000,12200
AKRN,D,20211209,000000,13224.0000000,14750.0000000,13200.0000000,14716.0000000,52375
AKRN,D,20211210,000000,14520.0000000,14570.0000000,13422.0000000,13452.0000000,64340
AKRN,D,20211213,000000,13002.0000000,13130.0000000,12102.0000000,12102.0000000,30742
AKRN,D,20211214,000000,12004.0000000,12840.0000000,11428.0000000,12396.0000000,32136
AKRN,D,20211215,000000,12640.0000000,12698.0000000,12300.0000000,12348.0000000,10173
AKRN,D,20211216,000000,12434.0000000,12690.0000000,12022.0000000,12136.0000000,7217
AKRN,D,20211217,000000,12212.0000000,12552.0000000,12096.0000000,12548.0000000,8446
AKRN,D,20211220,000000,12538.0000000,13980.0000000,12486.0000000,12990.0000000,26910
AKRN,D,20211221,000000,13148.0000000,13488.0000000,12946.0000000,13140.0000000,11388
AKRN,D,20211222,000000,13044.0000000,13496.0000000,12600.0000000,12858.0000000,9020
AKRN,D,20211223,000000,12982.0000000,13142.0000000,12222.0000000,12230.0000000,12926
AKRN,D,20211224,000000,12300.0000000,12700.0000000,12142.0000000,12460.0000000,8462
AKRN,D,20211227,000000,12616.0000000,13060.0000000,12452.0000000,12640.0000000,8553
AKRN,D,20211228,000000,12838.0000000,12838.0000000,12520.0000000,12690.0000000,4875
AKRN,D,20211229,000000,12750.0000000,12770.0000000,12476.0000000,12520.0000000,6950
AKRN,D,20211230,000000,12520.0000000,12640.0000000,12268.0000000,12358.0000000,6252
